940GZZBPSUST,Battersea Power Station
940GZZLURSG,Ruislip Gardens
940GZZLURSM,Ruislip Manor
940GZZLURSP,Ruislip
940GZZLURSQ,Russell Square
940GZZLURVP,Ravenscourt Park
940GZZLURVY,Roding Valley
940GZZLURYL,Rayners Lane
940GZZLURYO,Royal Oak
940GZZLUSBC,Shepherd's Bush
940GZZLUSBC,Shepherd's Bush Central
940GZZLUSBM,Shepherd's Bush Market
940GZZLUSEA,South Ealing
940GZZLUSFB,Stamford Brook
940GZZLUSFS,Southfields
940GZZLUSGN,Stepney Green
940GZZLUSGP,Stonebridge Park
940GZZLUSGT,Southgate
940GZZLUSHH,South Harrow
940GZZLUSJP,St. James's Park
940GZZLUSJW,St. John's Wood
940GZZLUSKS,South Kensington
940GZZLUSKT,South Kenton
940GZZLUSKW,Stockwell
940GZZLUSNB,Snaresbrook
940GZZLUSPU,St. Paul's
940GZZLUSRP,South Ruislip
940GZZLUSSQ,Sloane Square
940GZZLUSTD,Stratford
940GZZLUSTM,Stanmore
940GZZLUSUH,Sudbury Hill
940GZZLUSUT,Sudbury Town
940GZZLUSVS,Seven Sisters
940GZZLUSWC,Swiss Cottage
940GZZLUSWF,South Woodford
940GZZLUSWK,Southwark
940GZZLUSWN,South Wimbledon
940GZZLUTAW,Totteridge & Whetstone
940GZZLUTBC,Tooting Bec
940GZZLUTBY,Tooting Broadway
940GZZLUTCR,Tottenham Court Road
940GZZLUTFP,Tufnell Park
940GZZLUTHB,Theydon Bois
940GZZLUTMH,Tottenham Hale
940GZZLUTMP,Temple
940GZZLUTNG,Turnham Green
940GZZLUTPN,Turnpike Lane
940GZZLUTWH,Tower Hill
940GZZLUUPB,Upminster Bridge
940GZZLUUPK,Upton Park
940GZZLUUPM,Upminster
940GZZLUUPY,Upney
940GZZLUUXB,Uxbridge
940GZZLUVIC,Victoria
940GZZLUVXL,Vauxhall
940GZZLUWAF,Watford
940GZZLUWBN,West Brompton
940GZZLUWCY,White City
940GZZLUWFN,West Finchley
940GZZLUWHM,West Ham
940GZZLUWHP,West Hampstead
940GZZLUWHW,West Harrow
940GZZLUWIG,Willesden Green
940GZZLUWIM,Wimbledon
940GZZLUWIP,Wimbledon Park
940GZZLUWJN,Willesden Junction
940GZZLUWKA,Warwick Avenue
940GZZLUWKN,West Kensington
940GZZLUWLA,Wood Lane
940GZZLUWLO,Waterloo
940GZZLUWOF,Woodford
940GZZLUWOG,Wood Green
940GZZLUWOP,Woodside Park
940GZZLUWPL,Whitechapel
940GZZLUWRP,West Ruislip
940GZZLUWRR,Warren Street
940GZZLUWSD,Wanstead
940GZZLUWSM,Westminster
940GZZLUWSP,Westbourne Park
940GZZLUWTA,West Acton
940GZZLUWWL,Walthamstow Central
940GZZLUWYC,Wembley Central
940GZZLUWYP,Wembley Park
940GZZNEUGST,Nine Elms
